# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 16.11.2020 по 27.12.2020, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.11.2020 21:00";"0.0";"761.5";"761.8";"-0.6";"91";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"0.8";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"200-300";"";"";"10.0";"-1.3";"Осадков нет";"12";"";"";"";"";
"25.11.2020 18:00";"0.7";"762.1";"762.4";"0.1";"86";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"300-600";"Высокослоистые просвечивающие.";"";"10.0";"-1.4";"Осадков нет";"12";"";"";"";"";
"25.11.2020 15:00";"-0.3";"762.0";"762.4";"0.4";"89";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"-1.9";"";"";"";"";"";"";
"25.11.2020 12:00";"0.3";"761.6";"762.0";"1.2";"86";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"-1.8";"";"";"";"";"";"";
"25.11.2020 09:00";"-0.1";"760.4";"760.8";"1.3";"92";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"-0.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-1.2";"";"";"";"";"";"";
"25.11.2020 06:00";"0.6";"759.1";"759.4";"1.0";"92";"Ветер, дующий с северо-запада";"1";"";"";"40%.";" ";"";"";"0.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.5";"Осадков нет";"12";"";"";"";"";
"25.11.2020 03:00";"2.0";"758.1";"758.5";"0.8";"86";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-0.1";"";"";"";"";"";"";
"25.11.2020 00:00";"2.3";"757.3";"757.7";"0.8";"88";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.5";"";"";"";"";"";"";
"24.11.2020 21:00";"2.4";"756.5";"756.9";"0.9";"85";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"3.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.1";"Следы осадков";"12";"";"";"";"";
"24.11.2020 18:00";"2.6";"755.6";"756.0";"1.1";"83";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.0";"Следы осадков";"12";"";"";"";"";
"24.11.2020 15:00";"3.3";"754.5";"754.9";"0.6";"84";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.9";"";"";"";"";"";"";
"24.11.2020 12:00";"2.7";"753.9";"754.3";"1.0";"91";"Ветер, дующий с западо-юго-запада";"2";"";"";"90  или более, но не 100%";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.3";"";"";"";"";"";"";
"24.11.2020 09:00";"2.5";"752.9";"753.3";"1.2";"82";"Ветер, дующий с запада";"2";"";"";"100%.";"Облака в целом образовывались или развивались. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.3";"3.0";"12";"";"";"";"";
"24.11.2020 06:00";"2.1";"751.7";"752.1";"1.6";"87";"Ветер, дующий с северо-запада";"2";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.1";"3.0";"12";"";"";"";"";
"24.11.2020 03:00";"3.9";"750.1";"750.4";"0.9";"96";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"3.3";"";"";"";"";"";"";
"24.11.2020 00:00";"4.1";"749.2";"749.6";"0.4";"92";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"2.9";"";"";"";"";"";"";
"23.11.2020 21:00";"4.8";"748.8";"749.2";"0.2";"87";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"6.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"2.8";"Следы осадков";"12";"";"";"";"";
"23.11.2020 18:00";"5.7";"748.6";"748.9";"0.6";"83";"Ветер, дующий с юго-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.0";"0.6";"12";"";"";"";"";
"23.11.2020 15:00";"6.3";"748.0";"748.3";"0.1";"84";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.7";"";"";"";"";"";"";
"23.11.2020 12:00";"6.0";"747.9";"748.3";"0.2";"88";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.2";"";"";"";"";"";"";
"23.11.2020 09:00";"5.5";"747.7";"748.0";"-0.2";"89";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"4.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"3.8";"0.6";"12";"";"";"";"";
"23.11.2020 06:00";"5.1";"747.9";"748.3";"-0.5";"87";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"4.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"3.1";"Следы осадков";"12";"";"";"";"";
"23.11.2020 03:00";"4.6";"748.4";"748.8";"-0.5";"89";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"2.9";"";"";"";"";"";"";
"23.11.2020 00:00";"4.7";"748.9";"749.3";"-0.3";"85";"Ветер, дующий с юго-юго-запада";"4";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.4";"";"";"";"";"";"";
"22.11.2020 21:00";"5.0";"749.2";"749.6";"-0.3";"88";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"";"5.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"3.1";"Следы осадков";"12";"";"";"";"";
"22.11.2020 18:00";"4.8";"749.5";"749.8";"-0.6";"88";"Ветер, дующий с юга";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.0";"0.9";"12";"";"";"";"";
"22.11.2020 15:00";"4.3";"750.1";"750.5";"-0.4";"88";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"2.5";"";"";"";"";"";"";
"22.11.2020 12:00";"2.9";"750.5";"750.9";"-0.3";"92";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"10.0";"1.7";"";"";"";"";"";"";
"22.11.2020 09:00";"2.1";"750.8";"751.2";"-0.6";"89";"Ветер, дующий с юго-юго-запада";"5";"";"11";"100%.";"Снег неливневый. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"0.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"0.5";"4.0";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"Менее 0.5";
"22.11.2020 06:00";"1.2";"751.4";"751.8";"-2.6";"91";"Ветер, дующий с юга";"4";"";"12";"100%.";"Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"0.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"-0.1";"3.0";"12";"";"";"";"";
"22.11.2020 03:00";"1.0";"754.0";"754.4";"-3.8";"92";"Ветер, дующий с юга";"6";"11";"11";"100%.";"Ливневый(ые) дождь(и) со снегом умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"4.0";"-0.1";"";"";"";"";"";"";
"22.11.2020 00:00";"2.0";"757.8";"758.2";"-3.7";"82";"Ветер, дующий с юга";"5";"";"12";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.8";"";"";"";"";"";"";
"21.11.2020 21:00";"1.8";"761.5";"761.9";"-3.3";"85";"Ветер, дующий с юга";"4";"";"10";"100%.";" ";"";"";"";"2.3";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-0.5";"Следы осадков";"12";"";"";"";"";
"21.11.2020 18:00";"1.7";"764.8";"765.1";"-1.3";"84";"Ветер, дующий с юга";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"-0.7";"Следы осадков";"12";"";"";"";"";
"21.11.2020 15:00";"1.9";"766.1";"766.5";"-0.5";"88";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"0.1";"";"";"";"";"";"";
"21.11.2020 12:00";"2.0";"766.6";"767.0";"0.2";"90";"Ветер, дующий с юго-юго-запада";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"90  или более, но не 100%";"300-600";"";"";"10.0";"0.5";"";"";"";"";"";"";
"21.11.2020 09:00";"1.5";"766.4";"766.8";"1.4";"83";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.8";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.1";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"2.0";
"21.11.2020 06:00";"1.1";"765.0";"765.4";"1.8";"88";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"0.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.7";"0.4";"12";"";"";"";"";
"21.11.2020 03:00";"1.0";"763.2";"763.6";"2.5";"89";"Ветер, дующий с западо-северо-запада";"1";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.7";"";"";"";"";"";"";
"21.11.2020 00:00";"1.2";"760.7";"761.1";"3.0";"89";"Ветер, дующий с северо-запада";"3";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"300-600";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.4";"";"";"";"";"";"";
"20.11.2020 21:00";"1.1";"757.7";"758.1";"2.3";"94";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"3.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"0.2";"2.0";"12";"";"";"";"";
"20.11.2020 18:00";"1.4";"755.4";"755.8";"2.2";"81";"Ветер, дующий с западо-юго-запада";"4";"";"11";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.5";"2.0";"12";"";"";"";"";
"20.11.2020 15:00";"2.5";"753.2";"753.6";"1.0";"76";"Ветер, дующий с западо-юго-запада";"6";"11";"11";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.4";"";"";"";"";"";"";
"20.11.2020 12:00";"1.9";"752.2";"752.6";"2.3";"87";"Ветер, дующий с юго-юго-запада";"4";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.1";"";"";"";"";"";"";
"20.11.2020 09:00";"1.8";"749.9";"750.3";"3.1";"93";"Ветер, дующий с юго-запада";"4";"";"14";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Морось.";"0.7";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"300-600";"";"";"4.0";"0.8";"3.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"Измерение невозможно или неточно.";
"20.11.2020 06:00";"5.1";"746.8";"747.1";"2.1";"74";"Ветер, дующий с юго-запада";"6";"10";"12";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"5.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.8";"0.3";"12";"";"";"";"";
"20.11.2020 03:00";"8.8";"744.7";"745.1";"-0.2";"73";"Ветер, дующий с юго-запада";"6";"";"12";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.1";"";"";"";"";"";"";
"20.11.2020 00:00";"8.9";"744.9";"745.3";"0.1";"76";"Ветер, дующий с юго-юго-запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.9";"";"";"";"";"";"";
"19.11.2020 21:00";"9.7";"744.8";"745.2";"-0.3";"78";"Ветер, дующий с юго-юго-запада";"5";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Морось.";"";"10.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.0";"0.6";"12";"";"";"";"";
"19.11.2020 18:00";"9.5";"745.1";"745.5";"-0.9";"88";"Ветер, дующий с юго-юго-запада";"5";"";"12";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Ливень (ливни).";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"7.6";"0.6";"12";"";"";"";"";
"19.11.2020 15:00";"10.4";"746.0";"746.4";"-2.0";"78";"Ветер, дующий с юго-юго-запада";"6";"12";"15";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.6";"";"";"";"";"";"";
"19.11.2020 12:00";"10.3";"748.0";"748.4";"-2.2";"78";"Ветер, дующий с юго-юго-запада";"6";"11";"12";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.6";"";"";"";"";"";"";
"19.11.2020 09:00";"10.3";"750.2";"750.6";"-1.9";"86";"Ветер, дующий с юго-запада";"5";"";"10";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"8.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"8.1";"Следы осадков";"12";"";"";"";"";
"19.11.2020 06:00";"10.3";"752.1";"752.5";"-2.0";"93";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.8";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"9.2";"Следы осадков";"12";"";"";"";"";
"19.11.2020 03:00";"10.9";"754.1";"754.5";"-1.5";"89";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"9.2";"";"";"";"";"";"";
"19.11.2020 00:00";"9.6";"755.6";"756.0";"-1.9";"91";"Ветер, дующий с юга";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"8.2";"";"";"";"";"";"";
"18.11.2020 21:00";"8.2";"757.5";"757.9";"-0.7";"93";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"8.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.1";"2.0";"12";"";"";"";"";
"18.11.2020 18:00";"7.5";"758.2";"758.5";"1.0";"90";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"6.0";"5.0";"12";"";"";"";"";
"18.11.2020 15:00";"5.3";"757.2";"757.6";"0.2";"91";"Ветер, дующий с юго-юго-запада";"4";"";"11";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"4.0";"";"";"";"";"";"";
"18.11.2020 12:00";"2.7";"757.0";"757.3";"-1.5";"89";"Ветер, дующий с юга";"6";"10";"12";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"1.1";"";"";"";"";"";"";
"18.11.2020 09:00";"1.0";"758.5";"758.8";"-2.9";"93";"Ветер, дующий с юго-юго-востока";"4";"10";"11";"100%.";"Дождь или морось со снегом умеренные или сильные. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"0.5";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"0.0";"3.0";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"Менее 0.5";
"18.11.2020 06:00";"1.0";"761.4";"761.8";"-2.2";"88";"Ветер, дующий с юга";"6";"11";"12";"100%.";" ";"";"";"0.5";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-0.8";"Следы осадков";"12";"";"";"";"";
